trait_name	candidate_lncRNA	species	candidate_target_count	high_affinity_edges	mean_ba	max_ba	best_edge_conservation_count	rewiring_label	epigenomic_support_class	prioritization_note
obesity	CATG00000051276.1	human	477	0	60.723823	92.0	4	conserved	other	477 targets; 0 high-affinity edges; other context
obesity	RP11-443A13.5	human	476	19	65.981195	119.0	2	conserved	active_like	476 targets; 19 high-affinity edges; active_like context
obesity	GLYCTK-AS1	human	473	112	82.703339	177.0	4	conserved	bivalent_like	473 targets; 112 high-affinity edges; bivalent_like context
obesity	RP11-85O21.5	human	473	0	65.746077	95.0	4	conserved	other	473 targets; 0 high-affinity edges; other context
obesity	AC073128.10	human	470	0	60.998759	87.0	4	conserved	other	470 targets; 0 high-affinity edges; other context
obesity	CATG00000034752.1	human	468	5	60.305916	127.0	4	conserved	active_like	468 targets; 5 high-affinity edges; active_like context
obesity	CATG00000091305.1	human	466	9	65.642495	117.99	2	conserved	bivalent_like	466 targets; 9 high-affinity edges; bivalent_like context
obesity	CATG00000087322.1	human	462	433	110.314623	242.0	3	conserved	bivalent_like	462 targets; 433 high-affinity edges; bivalent_like context
obesity	RP11-586K2.1	human	462	47	68.103692	169.99	4	conserved	bivalent_like	462 targets; 47 high-affinity edges; bivalent_like context
obesity	CATG00000094057.1	human	461	0	61.225195	90.0	2	conserved	other	461 targets; 0 high-affinity edges; other context
obesity	CATG00000105780.1	human	460	41	73.831794	168.99	3	conserved	bivalent_like	460 targets; 41 high-affinity edges; bivalent_like context
obesity	CATG00000082073.1	human	459	137	76.543158	150.0	3	conserved	bivalent_like	459 targets; 137 high-affinity edges; bivalent_like context
obesity	CATG00000016522.1	human	458	44	66.637912	287.99	4	conserved	bivalent_like	458 targets; 44 high-affinity edges; bivalent_like context
obesity	CATG00000098346.1	human	456	19	69.09568	124.01	3	conserved	bivalent_like	456 targets; 19 high-affinity edges; bivalent_like context
obesity	RP11-85K15.2	human	455	6	63.029859	123.0	3	conserved	active_like	455 targets; 6 high-affinity edges; active_like context
obesity	CATG00000058672.1	human	454	30	74.42607	126.01	2	conserved	bivalent_like	454 targets; 30 high-affinity edges; bivalent_like context
obesity	CALML3-AS1	human	452	46	67.7738	172.0	4	conserved	bivalent_like	452 targets; 46 high-affinity edges; bivalent_like context
obesity	AC002451.3	human	450	4	67.829974	107.01	3	conserved	active_like	450 targets; 4 high-affinity edges; active_like context
obesity	CATG00000007117.1	human	448	26	72.101529	117.0	4	conserved	bivalent_like	448 targets; 26 high-affinity edges; bivalent_like context
obesity	CATG00000068644.1	human	447	5	66.097318	117.0	1	species_specific	active_like	447 targets; 5 high-affinity edges; active_like context
obesity	CCDC13-AS1	human	447	4	62.544543	104.01	3	conserved	active_like	447 targets; 4 high-affinity edges; active_like context
obesity	CATG00000052264.1	human	446	24	61.558956	117.01	4	conserved	bivalent_like	446 targets; 24 high-affinity edges; bivalent_like context
obesity	AF131216.5	human	445	16	69.102893	113.0	3	conserved	bivalent_like	445 targets; 16 high-affinity edges; bivalent_like context
obesity	RP11-354K4.2	human	443	40	67.810585	113.99	4	conserved	bivalent_like	443 targets; 40 high-affinity edges; bivalent_like context
obesity	RP11-454P21.1	human	442	0	57.744821	88.0	4	conserved	other	442 targets; 0 high-affinity edges; other context
obesity	RP11-209D14.2	human	438	0	69.800473	98.99	4	conserved	other	438 targets; 0 high-affinity edges; other context
obesity	ERICH1-AS1	human	436	32	68.810621	137.01	4	conserved	bivalent_like	436 targets; 32 high-affinity edges; bivalent_like context
obesity	RP11-497E19.1	human	436	0	59.2558	97.01	4	conserved	other	436 targets; 0 high-affinity edges; other context
obesity	CATG00000052397.1	human	435	0	59.247128	96.01	3	conserved	other	435 targets; 0 high-affinity edges; other context
obesity	MIAT	human	434	20	63.602217	155.01	3	conserved	bivalent_like	434 targets; 20 high-affinity edges; bivalent_like context
obesity	PROX1-AS1	human	434	3	64.339149	112.0	2	conserved	other	434 targets; 3 high-affinity edges; other context
obesity	CATG00000030910.1	human	433	4	61.28473	130.0	2	conserved	other	433 targets; 4 high-affinity edges; other context
obesity	TTC28-AS1	human	432	2	69.509614	104.99	4	conserved	other	432 targets; 2 high-affinity edges; other context
obesity	CATG00000000944.1	human	431	336	100.740141	236.0	3	conserved	bivalent_like	431 targets; 336 high-affinity edges; bivalent_like context
obesity	OIP5-AS1	human	431	109	73.830262	163.0	3	conserved	bivalent_like	431 targets; 109 high-affinity edges; bivalent_like context
obesity	AC004540.5	human	430	210	83.42021	150.0	4	conserved	bivalent_like	430 targets; 210 high-affinity edges; bivalent_like context
obesity	RP11-297D21.4	human	429	0	58.720703	87.0	3	conserved	other	429 targets; 0 high-affinity edges; other context
obesity	CATG00000002237.1	human	421	172	81.739325	257.02	3	conserved	bivalent_like	421 targets; 172 high-affinity edges; bivalent_like context
obesity	CATG00000089605.1	human	420	124	76.051885	271.98	2	conserved	bivalent_like	420 targets; 124 high-affinity edges; bivalent_like context
obesity	CTC-525D6.1	human	417	71	67.984249	141.99	4	conserved	bivalent_like	417 targets; 71 high-affinity edges; bivalent_like context
obesity	SIK3-IT1	human	412	20	65.23449	115.0	4	conserved	bivalent_like	412 targets; 20 high-affinity edges; bivalent_like context
obesity	RP3-428L16.1	human	409	27	68.50109	156.99	3	conserved	bivalent_like	409 targets; 27 high-affinity edges; bivalent_like context
obesity	CATG00000060742.1	human	406	112	77.19253	145.0	3	conserved	bivalent_like	406 targets; 112 high-affinity edges; bivalent_like context
obesity	CATG00000070702.1	human	403	495	117.674819	344.01	4	conserved	bivalent_like	403 targets; 495 high-affinity edges; bivalent_like context
obesity	GRIK1-AS1	human	401	0	57.092688	80.01	4	conserved	other	401 targets; 0 high-affinity edges; other context
obesity	CATG00000096069.1	human	397	0	58.204007	95.01	2	conserved	other	397 targets; 0 high-affinity edges; other context
obesity	HCG23	human	393	0	57.732235	87.0	2	conserved	other	393 targets; 0 high-affinity edges; other context
obesity	CATG00000060295.1	human	390	0	60.136371	94.01	3	conserved	other	390 targets; 0 high-affinity edges; other context
obesity	PWRN1	human	387	33	67.390951	137.99	3	conserved	bivalent_like	387 targets; 33 high-affinity edges; bivalent_like context
obesity	CATG00000100669.1	human	385	11	59.943317	123.0	2	conserved	bivalent_like	385 targets; 11 high-affinity edges; bivalent_like context
obesity	RP11-282I1.1	human	385	0	57.3087	90.99	3	conserved	other	385 targets; 0 high-affinity edges; other context
obesity	DLGAP1-AS3	human	382	0	59.120324	88.0	4	conserved	other	382 targets; 0 high-affinity edges; other context
obesity	CATG00000039607.1	human	381	62	76.065311	189.99	1	species_specific	bivalent_like	381 targets; 62 high-affinity edges; bivalent_like context
obesity	RP11-191L9.4	human	381	0	57.360114	91.0	4	conserved	other	381 targets; 0 high-affinity edges; other context
obesity	CATG00000097733.1	human	380	22	64.47168	140.01	4	conserved	bivalent_like	380 targets; 22 high-affinity edges; bivalent_like context
obesity	CATG00000108287.1	human	377	39	65.82738	151.0	2	conserved	bivalent_like	377 targets; 39 high-affinity edges; bivalent_like context
obesity	CATG00000054226.1	human	377	4	59.478926	120.0	3	conserved	bivalent_like	377 targets; 4 high-affinity edges; bivalent_like context
obesity	CTC-453G23.8	human	376	7	61.474804	145.01	2	conserved	bivalent_like	376 targets; 7 high-affinity edges; bivalent_like context
obesity	ZFHX4-AS1	human	375	6	64.390739	190.01	4	conserved	active_like	375 targets; 6 high-affinity edges; active_like context
obesity	AC097468.7	human	372	1	58.866725	100.0	4	conserved	other	372 targets; 1 high-affinity edges; other context
obesity	CATG00000004937.1	human	370	18	69.742984	129.0	2	conserved	bivalent_like	370 targets; 18 high-affinity edges; bivalent_like context
obesity	CATG00000027297.1	human	364	9	68.501283	118.99	3	conserved	bivalent_like	364 targets; 9 high-affinity edges; bivalent_like context
obesity	CATG00000109735.1	human	362	33	66.705162	117.99	3	conserved	bivalent_like	362 targets; 33 high-affinity edges; bivalent_like context
obesity	CATG00000006600.1	human	362	27	66.525278	161.01	2	conserved	bivalent_like	362 targets; 27 high-affinity edges; bivalent_like context
obesity	CATG00000023728.1	human	360	0	57.998787	85.01	2	conserved	other	360 targets; 0 high-affinity edges; other context
obesity	AC005152.2	human	359	4	64.590338	125.01	4	conserved	active_like	359 targets; 4 high-affinity edges; active_like context
obesity	RP11-100K18.1	human	358	0	57.822839	95.0	4	conserved	other	358 targets; 0 high-affinity edges; other context
obesity	CATG00000072898.1	human	356	216	84.518321	240.99	1	species_specific	bivalent_like	356 targets; 216 high-affinity edges; bivalent_like context
obesity	RP11-125B21.2	human	356	138	76.443418	158.01	2	conserved	bivalent_like	356 targets; 138 high-affinity edges; bivalent_like context
obesity	AC005618.6	human	352	2	60.063455	111.01	4	conserved	active_like	352 targets; 2 high-affinity edges; active_like context
obesity	CATG00000052054.1	human	345	15	61.411268	122.01	4	conserved	active_like	345 targets; 15 high-affinity edges; active_like context
obesity	CATG00000091112.1	human	341	216	91.252703	189.0	3	conserved	bivalent_like	341 targets; 216 high-affinity edges; bivalent_like context
obesity	CATG00000092613.1	human	338	19	71.241541	123.99	1	rewired	bivalent_like	338 targets; 19 high-affinity edges; bivalent_like context
obesity	RP1-69D17.4	human	337	0	55.177632	73.0	4	conserved	other	337 targets; 0 high-affinity edges; other context
obesity	CATG00000038743.1	human	336	1	60.721086	110.0	2	conserved	other	336 targets; 1 high-affinity edges; other context
obesity	CATG00000023739.1	human	336	0	62.05812	98.0	3	conserved	other	336 targets; 0 high-affinity edges; other context
obesity	CATG00000024927.1	human	334	0	67.551877	98.0	4	conserved	other	334 targets; 0 high-affinity edges; other context
obesity	RP11-341N2.1	human	333	15	64.431719	112.99	4	conserved	active_like	333 targets; 15 high-affinity edges; active_like context
obesity	CATG00000075637.1	human	329	41	71.81684	174.0	2	conserved	bivalent_like	329 targets; 41 high-affinity edges; bivalent_like context
obesity	CATG00000109054.1	human	328	33	74.816011	149.0	3	conserved	bivalent_like	328 targets; 33 high-affinity edges; bivalent_like context
obesity	CATG00000050525.1	human	328	10	68.348766	111.0	4	conserved	active_like	328 targets; 10 high-affinity edges; active_like context
obesity	CATG00000080233.1	human	327	25	66.797901	166.0	3	conserved	bivalent_like	327 targets; 25 high-affinity edges; bivalent_like context
obesity	CATG00000075534.1	human	327	0	57.13512	91.99	4	conserved	other	327 targets; 0 high-affinity edges; other context
obesity	CATG00000013480.1	human	326	21	68.166089	126.01	4	conserved	bivalent_like	326 targets; 21 high-affinity edges; bivalent_like context
obesity	CATG00000106315.1	human	326	0	67.495501	97.0	3	conserved	other	326 targets; 0 high-affinity edges; other context
obesity	CATG00000116021.1	human	324	9	59.293628	114.0	3	conserved	bivalent_like	324 targets; 9 high-affinity edges; bivalent_like context
obesity	AC093391.2	human	323	42	72.35836	141.01	2	conserved	bivalent_like	323 targets; 42 high-affinity edges; bivalent_like context
obesity	CATG00000041149.1	human	322	95	84.558625	581.02	3	conserved	bivalent_like	322 targets; 95 high-affinity edges; bivalent_like context
obesity	CATG00000006264.1	human	321	5	70.871284	107.99	3	conserved	active_like	321 targets; 5 high-affinity edges; active_like context
obesity	CATG00000061552.1	human	321	1	62.339805	110.0	3	conserved	other	321 targets; 1 high-affinity edges; other context
obesity	RP11-559N14.5	human	320	0	60.10078	87.0	4	conserved	other	320 targets; 0 high-affinity edges; other context
obesity	CATG00000006256.1	human	320	0	61.051734	95.0	3	conserved	other	320 targets; 0 high-affinity edges; other context
obesity	CATG00000096728.1	human	319	11	63.469329	139.99	4	conserved	bivalent_like	319 targets; 11 high-affinity edges; bivalent_like context
obesity	CATG00000058727.1	human	319	8	63.874768	112.0	2	conserved	active_like	319 targets; 8 high-affinity edges; active_like context
obesity	CATG00000103728.1	human	318	15	66.837974	184.01	3	conserved	bivalent_like	318 targets; 15 high-affinity edges; bivalent_like context
obesity	CATG00000021387.1	human	318	5	60.767821	115.0	4	conserved	active_like	318 targets; 5 high-affinity edges; active_like context
obesity	BCDIN3D-AS1	human	317	1	60.413714	107.99	3	conserved	active_like	317 targets; 1 high-affinity edges; active_like context
obesity	RP11-464O2.2	human	317	0	57.165669	99.01	3	conserved	other	317 targets; 0 high-affinity edges; other context
obesity	RP11-195M16.3	human	316	3	60.206304	111.0	4	conserved	active_like	316 targets; 3 high-affinity edges; active_like context
obesity	AC016700.5	human	312	100	80.657185	131.0	3	conserved	bivalent_like	312 targets; 100 high-affinity edges; bivalent_like context
obesity	CATG00000056762.1	human	312	14	62.907991	122.0	2	conserved	bivalent_like	312 targets; 14 high-affinity edges; bivalent_like context
obesity	RP11-755B10.3	human	312	3	63.896429	120.99	4	conserved	bivalent_like	312 targets; 3 high-affinity edges; bivalent_like context
obesity	SRD5A3-AS1	human	312	0	57.515814	97.0	1	species_specific	other	312 targets; 0 high-affinity edges; other context
obesity	PCBP1-AS1	human	310	145	87.831239	149.0	1	rewired	bivalent_like	310 targets; 145 high-affinity edges; bivalent_like context
obesity	CTD-2293H3.2	human	310	14	66.375855	147.0	3	conserved	active_like	310 targets; 14 high-affinity edges; active_like context
obesity	CATG00000043283.1	human	310	2	64.954211	104.0	1	rewired	active_like	310 targets; 2 high-affinity edges; active_like context
obesity	RP11-550I24.2	human	310	0	70.407636	97.01	2	conserved	other	310 targets; 0 high-affinity edges; other context
obesity	CATG00000029361.1	human	308	84	80.5187	133.0	2	conserved	bivalent_like	308 targets; 84 high-affinity edges; bivalent_like context
obesity	CATG00000097152.1	human	307	3	59.799281	109.01	2	conserved	active_like	307 targets; 3 high-affinity edges; active_like context
obesity	CTA-384D8.35	human	305	0	59.530048	95.01	4	conserved	other	305 targets; 0 high-affinity edges; other context
obesity	RP11-750H9.5	human	304	268	120.714194	253.99	4	conserved	bivalent_like	304 targets; 268 high-affinity edges; bivalent_like context
obesity	CATG00000106168.1	human	303	1	60.734005	108.01	4	conserved	other	303 targets; 1 high-affinity edges; other context
obesity	CATG00000006140.1	human	302	0	60.930219	74.0	3	conserved	other	302 targets; 0 high-affinity edges; other context
obesity	CATG00000019056.1	human	298	44	71.264095	175.99	3	conserved	bivalent_like	298 targets; 44 high-affinity edges; bivalent_like context
obesity	AC074391.1	human	298	2	58.384487	107.0	4	conserved	other	298 targets; 2 high-affinity edges; other context
obesity	AATK-AS1	human	298	1	59.8286	100.0	4	conserved	other	298 targets; 1 high-affinity edges; other context
obesity	RP11-274J16.5	human	297	0	69.411497	84.01	3	conserved	other	297 targets; 0 high-affinity edges; other context
obesity	CATG00000052211.1	human	295	31	71.537158	250.01	3	conserved	bivalent_like	295 targets; 31 high-affinity edges; bivalent_like context
obesity	CATG00000060738.1	human	295	0	56.544049	91.99	4	conserved	other	295 targets; 0 high-affinity edges; other context
obesity	RP11-555M1.3	human	291	0	62.965522	86.0	3	conserved	other	291 targets; 0 high-affinity edges; other context
obesity	RP11-85M11.2	human	291	0	57.334232	87.0	3	conserved	other	291 targets; 0 high-affinity edges; other context
obesity	CATG00000037098.1	human	287	4	60.015358	113.01	3	conserved	active_like	287 targets; 4 high-affinity edges; active_like context
obesity	RP11-459E5.1	human	287	0	66.769588	99.0	4	conserved	other	287 targets; 0 high-affinity edges; other context
obesity	CATG00000035322.1	human	286	80	77.605622	137.99	4	conserved	bivalent_like	286 targets; 80 high-affinity edges; bivalent_like context
obesity	CATG00000023019.1	human	283	109	83.035589	202.0	4	conserved	bivalent_like	283 targets; 109 high-affinity edges; bivalent_like context
obesity	CATG00000065324.1	human	283	9	63.599346	115.01	2	conserved	active_like	283 targets; 9 high-affinity edges; active_like context
obesity	RP11-158I13.2	human	283	1	61.710483	100.01	4	conserved	other	283 targets; 1 high-affinity edges; other context
obesity	AC002117.1	human	282	2	63.641845	121.0	4	conserved	active_like	282 targets; 2 high-affinity edges; active_like context
obesity	RP11-32K4.1	human	281	0	58.261744	89.01	3	conserved	other	281 targets; 0 high-affinity edges; other context
obesity	CATG00000020709.1	human	279	0	66.034205	94.0	4	conserved	other	279 targets; 0 high-affinity edges; other context
obesity	CATG00000032792.1	human	279	0	58.724212	91.0	3	conserved	other	279 targets; 0 high-affinity edges; other context
obesity	RP11-22P6.2	human	276	0	59.405364	81.99	2	conserved	other	276 targets; 0 high-affinity edges; other context
obesity	CATG00000092110.1	human	275	1	66.04567	145.99	3	conserved	other	275 targets; 1 high-affinity edges; other context
obesity	AC079807.4	human	275	0	65.645755	99.0	4	conserved	other	275 targets; 0 high-affinity edges; other context
obesity	RP11-363G15.2	human	273	5	64.733518	117.0	4	conserved	active_like	273 targets; 5 high-affinity edges; active_like context
obesity	RP11-310P5.1	human	271	1	63.666588	113.0	2	conserved	other	271 targets; 1 high-affinity edges; other context
obesity	CATG00000002239.1	human	269	10	66.380152	112.0	2	conserved	active_like	269 targets; 10 high-affinity edges; active_like context
obesity	CATG00000007131.1	human	268	4	65.044412	119.01	4	conserved	active_like	268 targets; 4 high-affinity edges; active_like context
obesity	RP5-1071N3.1	human	264	3	63.721957	101.01	4	conserved	other	264 targets; 3 high-affinity edges; other context
obesity	CATG00000083238.1	human	264	1	67.468468	108.0	3	conserved	active_like	264 targets; 1 high-affinity edges; active_like context
obesity	CATG00000052902.1	human	264	0	63.285294	97.0	4	conserved	other	264 targets; 0 high-affinity edges; other context
obesity	AC099850.1	human	262	8	66.394605	122.99	4	conserved	bivalent_like	262 targets; 8 high-affinity edges; bivalent_like context
obesity	RP11-159H22.2	human	261	5	62.056969	108.0	3	conserved	active_like	261 targets; 5 high-affinity edges; active_like context
obesity	CATG00000009582.1	human	261	0	60.314519	90.0	3	conserved	other	261 targets; 0 high-affinity edges; other context
obesity	RP11-258F1.1	human	259	0	62.260957	98.0	3	conserved	other	259 targets; 0 high-affinity edges; other context
obesity	CATG00000036572.1	human	257	4	60.125281	114.0	3	conserved	active_like	257 targets; 4 high-affinity edges; active_like context
obesity	CATG00000082365.1	human	256	5	64.41089	119.01	3	conserved	bivalent_like	256 targets; 5 high-affinity edges; bivalent_like context
obesity	CATG00000070588.1	human	250	0	60.844143	93.0	4	conserved	other	250 targets; 0 high-affinity edges; other context
obesity	CATG00000001034.1	human	249	18	64.460222	195.99	2	conserved	active_like	249 targets; 18 high-affinity edges; active_like context
obesity	CATG00000002261.1	human	249	7	61.498373	114.0	2	conserved	bivalent_like	249 targets; 7 high-affinity edges; bivalent_like context
obesity	RP11-85O21.2	human	248	0	57.894391	81.0	4	conserved	other	248 targets; 0 high-affinity edges; other context
obesity	CATG00000002249.1	human	247	0	55.067195	73.0	2	conserved	other	247 targets; 0 high-affinity edges; other context
obesity	AP000936.4	human	246	0	60.739498	73.0	3	conserved	other	246 targets; 0 high-affinity edges; other context
obesity	FAM155A-IT1	human	245	2	59.778502	108.0	3	conserved	other	245 targets; 2 high-affinity edges; other context
obesity	RP11-467C18.1	human	244	20	69.572814	212.01	3	conserved	bivalent_like	244 targets; 20 high-affinity edges; bivalent_like context
obesity	CATG00000016254.1	human	240	2	60.024911	113.01	3	conserved	active_like	240 targets; 2 high-affinity edges; active_like context
obesity	RP11-445H22.4	human	240	0	54.599408	87.99	3	conserved	other	240 targets; 0 high-affinity edges; other context
obesity	CATG00000028088.1	human	238	0	58.303455	91.99	3	conserved	other	238 targets; 0 high-affinity edges; other context
obesity	RP11-319G6.1	human	238	0	59.482835	78.0	3	conserved	other	238 targets; 0 high-affinity edges; other context
obesity	CATG00000040550.1	human	233	129	101.434876	212.0	2	conserved	bivalent_like	233 targets; 129 high-affinity edges; bivalent_like context
obesity	AC010907.5	human	233	31	71.405015	159.0	3	conserved	bivalent_like	233 targets; 31 high-affinity edges; bivalent_like context
obesity	BZRAP1-AS1	human	226	87	83.338869	180.0	4	conserved	bivalent_like	226 targets; 87 high-affinity edges; bivalent_like context
obesity	CATG00000092614.1	human	224	3	59.85337	126.01	2	conserved	other	224 targets; 3 high-affinity edges; other context
obesity	CTB-111F10.1	human	224	0	58.85727	72.0	3	conserved	other	224 targets; 0 high-affinity edges; other context
obesity	CATG00000080486.1	human	224	0	58.229097	95.0	2	conserved	other	224 targets; 0 high-affinity edges; other context
obesity	LINC01004	human	223	43	72.116197	145.99	4	conserved	bivalent_like	223 targets; 43 high-affinity edges; bivalent_like context
obesity	RP11-1017G21.5	human	219	0	61.970448	83.0	4	conserved	other	219 targets; 0 high-affinity edges; other context
obesity	RP11-112J1.2	human	219	0	55.465201	79.0	3	conserved	other	219 targets; 0 high-affinity edges; other context
obesity	CATG00000030863.1	human	217	23	74.553241	277.98	2	conserved	bivalent_like	217 targets; 23 high-affinity edges; bivalent_like context
