core_id	gene_type	canonical_symbol	human_ensembl_id	human	chimp	macaque	marmoset	conservation_label	conservation_count
17432	lncRNA	CATG00000017432.1	CATG00000017432.1	1	1	1	1	1111	4
17483	lncRNA	CATG00000017483.1	CATG00000017483.1	1	1	1	1	1111	4
17558	lncRNA	CATG00000017558.1	CATG00000017558.1	1	1	1	1	1111	4
17605	lncRNA	CATG00000017605.1	CATG00000017605.1	1	1	1	1	1111	4
17625	lncRNA	CATG00000017625.1	CATG00000017625.1	1	1	1	1	1111	4
17644	lncRNA	CATG00000017644.1	CATG00000017644.1	1	1	1	1	1111	4
17658	lncRNA	CATG00000017658.1	CATG00000017658.1	1	1	1	0	1110	3
17739	lncRNA	CATG00000017739.1	CATG00000017739.1	1	1	1	1	1111	4
17860	lncRNA	CATG00000017860.1	CATG00000017860.1	1	1	1	1	1111	4
17870	protein_coding	CATG00000017870.1	CATG00000017870	1	0	0	0	1000	1
17961	lncRNA	CATG00000017961.1	CATG00000017961.1	1	1	1	1	1111	4
18053	protein_coding	CATG00000018053.1	CATG00000018053	1	0	0	0	1000	1
18149	protein_coding	CATG00000018149.1	CATG00000018149	1	0	0	0	1000	1
18232	lncRNA	CATG00000018232.1	CATG00000018232.1	1	1	1	1	1111	4
18261	protein_coding	CATG00000018261.1	CATG00000018261	1	0	0	0	1000	1
18307	lncRNA	CATG00000018307.1	CATG00000018307.1	1	1	1	1	1111	4
18363	lncRNA	CATG00000018363.1	CATG00000018363.1	1	1	1	1	1111	4
18533	lncRNA	CATG00000018533.1	CATG00000018533.1	1	1	1	1	1111	4
18535	lncRNA	CATG00000018535.1	CATG00000018535.1	1	1	1	1	1111	4
19056	lncRNA	CATG00000019056.1	CATG00000019056.1	1	1	1	0	1110	3
19058	lncRNA	CATG00000019058.1	CATG00000019058.1	1	0	1	1	1011	3
19061	lncRNA	CATG00000019061.1	CATG00000019061.1	1	1	1	1	1111	4
19062	lncRNA	CATG00000019062.1	CATG00000019062.1	1	1	1	1	1111	4
19107	lncRNA	CATG00000019107.1	CATG00000019107.1	1	1	1	1	1111	4
19186	lncRNA	CATG00000019186.1	CATG00000019186.1	1	1	1	1	1111	4
19188	lncRNA	CATG00000019188.1	CATG00000019188.1	1	1	1	1	1111	4
19279	protein_coding	CATG00000019279.1	CATG00000019279	1	0	0	0	1000	1
19375	lncRNA	CATG00000019375.1	CATG00000019375.1	1	1	1	1	1111	4
19404	lncRNA	CATG00000019404.1	CATG00000019404.1	1	1	1	1	1111	4
19406	protein_coding	CATG00000019406.1	CATG00000019406	1	0	0	0	1000	1
19461	lncRNA	CATG00000019461.1	CATG00000019461.1	1	1	1	1	1111	4
19507	lncRNA	CATG00000019507.1	CATG00000019507.1	1	1	1	1	1111	4
19532	lncRNA	CATG00000019532.1	CATG00000019532.1	1	1	1	1	1111	4
19609	lncRNA	CATG00000019609.1	CATG00000019609.1	1	1	1	1	1111	4
19710	lncRNA	CATG00000019710.1	CATG00000019710.1	1	1	1	1	1111	4
19860	lncRNA	CATG00000019860.1	CATG00000019860.1	1	1	1	1	1111	4
19861	lncRNA	CATG00000019861.1	CATG00000019861.1	1	1	1	1	1111	4
19869	protein_coding	CATG00000019869.1	CATG00000019869	1	0	0	0	1000	1
19889	lncRNA	CATG00000019889.1	CATG00000019889.1	1	1	1	1	1111	4
19935	lncRNA	CATG00000019935.1	CATG00000019935.1	1	1	1	1	1111	4
19939	lncRNA	CATG00000019939.1	CATG00000019939.1	1	1	1	1	1111	4
20162	protein_coding	CATG00000020162.1	CATG00000020162	1	0	0	0	1000	1
20216	lncRNA	CATG00000020216.1	CATG00000020216.1	1	1	1	1	1111	4
20217	lncRNA	CATG00000020217.1	CATG00000020217.1	1	1	1	1	1111	4
20379	lncRNA	CATG00000020379.1	CATG00000020379.1	1	1	1	1	1111	4
20498	lncRNA	CATG00000020498.1	CATG00000020498.1	1	1	1	1	1111	4
20659	lncRNA	CATG00000020659.1	CATG00000020659.1	1	1	1	1	1111	4
20709	lncRNA	CATG00000020709.1	CATG00000020709.1	1	1	1	1	1111	4
20715	lncRNA	CATG00000020715.1	CATG00000020715.1	1	1	1	1	1111	4
20786	lncRNA	CATG00000020786.1	CATG00000020786.1	1	1	1	1	1111	4
20788	lncRNA	CATG00000020788.1	CATG00000020788.1	1	1	1	1	1111	4
20952	lncRNA	CATG00000020952.1	CATG00000020952.1	1	1	1	1	1111	4
21091	protein_coding	CATG00000021091.1	CATG00000021091	1	0	0	0	1000	1
21181	lncRNA	CATG00000021181.1	CATG00000021181.1	1	1	1	1	1111	4
21182	lncRNA	CATG00000021182.1	CATG00000021182.1	1	1	1	1	1111	4
21184	lncRNA	CATG00000021184.1	CATG00000021184.1	1	1	1	1	1111	4
21187	lncRNA	CATG00000021187.1	CATG00000021187.1	1	1	1	1	1111	4
21189	lncRNA	CATG00000021189.1	CATG00000021189.1	1	1	1	1	1111	4
21190	lncRNA	CATG00000021190.1	CATG00000021190.1	1	1	1	1	1111	4
21193	lncRNA	CATG00000021193.1	CATG00000021193.1	1	1	1	1	1111	4
21195	protein_coding	CATG00000021195.1	CATG00000021195	1	0	0	0	1000	1
21307	lncRNA	CATG00000021307.1	CATG00000021307.1	1	1	1	1	1111	4
21324	lncRNA	CATG00000021324.1	CATG00000021324.1	1	1	1	1	1111	4
21387	lncRNA	CATG00000021387.1	CATG00000021387.1	1	1	1	1	1111	4
21439	lncRNA	CATG00000021439.1	CATG00000021439.1	1	1	1	1	1111	4
21454	protein_coding	CATG00000021454.1	CATG00000021454	1	0	0	0	1000	1
21517	protein_coding	CATG00000021517.1	CATG00000021517	1	0	0	0	1000	1
21520	lncRNA	CATG00000021520.1	CATG00000021520.1	1	1	1	1	1111	4
21813	lncRNA	CATG00000021813.1	CATG00000021813.1	1	1	1	1	1111	4
21829	lncRNA	CATG00000021829.1	CATG00000021829.1	1	1	0	1	1101	3
21832	lncRNA	CATG00000021832.1	CATG00000021832.1	1	1	1	1	1111	4
21878	lncRNA	CATG00000021878.1	CATG00000021878.1	1	1	1	1	1111	4
22014	lncRNA	CATG00000022014.1	CATG00000022014.1	1	1	1	1	1111	4
22353	lncRNA	CATG00000022353.1	CATG00000022353.1	1	1	1	1	1111	4
22433	protein_coding	CATG00000022433.1	CATG00000022433	1	0	0	0	1000	1
22536	lncRNA	CATG00000022536.1	CATG00000022536.1	1	1	1	1	1111	4
22666	lncRNA	CATG00000022666.1	CATG00000022666.1	1	1	1	1	1111	4
22687	lncRNA	CATG00000022687.1	CATG00000022687.1	1	1	1	0	1110	3
22775	lncRNA	CATG00000022775.1	CATG00000022775.1	1	1	1	1	1111	4
22790	lncRNA	CATG00000022790.1	CATG00000022790.1	1	1	1	1	1111	4
22826	lncRNA	CATG00000022826.1	CATG00000022826.1	1	1	1	1	1111	4
23019	lncRNA	CATG00000023019.1	CATG00000023019.1	1	1	1	1	1111	4
23067	lncRNA	CATG00000023067.1	CATG00000023067.1	1	1	1	1	1111	4
23077	lncRNA	CATG00000023077.1	CATG00000023077.1	1	1	1	1	1111	4
23109	lncRNA	CATG00000023109.1	CATG00000023109.1	1	1	1	1	1111	4
23177	lncRNA	CATG00000023177.1	CATG00000023177.1	1	1	1	1	1111	4
23179	lncRNA	CATG00000023179.1	CATG00000023179.1	1	1	1	1	1111	4
23332	lncRNA	CATG00000023332.1	CATG00000023332.1	1	1	1	1	1111	4
23443	lncRNA	CATG00000023443.1	CATG00000023443.1	1	1	1	1	1111	4
23542	lncRNA	CATG00000023542.1	CATG00000023542.1	1	1	1	1	1111	4
23623	lncRNA	CATG00000023623.1	CATG00000023623.1	1	1	1	0	1110	3
23625	lncRNA	CATG00000023625.1	CATG00000023625.1	1	1	1	1	1111	4
23641	lncRNA	CATG00000023641.1	CATG00000023641.1	1	1	1	1	1111	4
23642	lncRNA	CATG00000023642.1	CATG00000023642.1	1	1	1	0	1110	3
23643	lncRNA	CATG00000023643.1	CATG00000023643.1	1	1	1	0	1110	3
23677	lncRNA	CATG00000023677.1	CATG00000023677.1	1	0	0	1	1001	2
23728	lncRNA	CATG00000023728.1	CATG00000023728.1	1	1	0	0	1100	2
23739	lncRNA	CATG00000023739.1	CATG00000023739.1	1	1	1	1	1111	4
24056	lncRNA	CATG00000024056.1	CATG00000024056.1	1	1	1	0	1110	3
24255	lncRNA	CATG00000024255.1	CATG00000024255.1	1	1	1	0	1110	3
24257	lncRNA	CATG00000024257.1	CATG00000024257.1	1	1	1	0	1110	3
24264	lncRNA	CATG00000024264.1	CATG00000024264.1	1	1	1	0	1110	3
24629	lncRNA	CATG00000024629.1	CATG00000024629.1	1	1	1	0	1110	3
24667	protein_coding	CATG00000024667.1	CATG00000024667	1	0	0	0	1000	1
24759	lncRNA	CATG00000024759.1	CATG00000024759.1	1	1	1	0	1110	3
24823	lncRNA	CATG00000024823.1	CATG00000024823.1	1	1	1	1	1111	4
24861	lncRNA	CATG00000024861.1	CATG00000024861.1	1	1	1	1	1111	4
24911	lncRNA	CATG00000024911.1	CATG00000024911.1	1	1	1	1	1111	4
24916	lncRNA	CATG00000024916.1	CATG00000024916.1	1	1	1	1	1111	4
24927	lncRNA	CATG00000024927.1	CATG00000024927.1	1	1	1	1	1111	4
25046	lncRNA	CATG00000025046.1	CATG00000025046.1	1	1	1	1	1111	4
25051	lncRNA	CATG00000025051.1	CATG00000025051.1	1	1	1	0	1110	3
25177	lncRNA	CATG00000025177.1	CATG00000025177.1	1	1	1	1	1111	4
25251	lncRNA	CATG00000025251.1	CATG00000025251.1	1	1	1	1	1111	4
25276	lncRNA	CATG00000025276.1	CATG00000025276.1	1	1	1	1	1111	4
25376	lncRNA	CATG00000025376.1	CATG00000025376.1	1	0	0	0	1000	1
25392	lncRNA	CATG00000025392.1	CATG00000025392.1	1	1	1	1	1111	4
25394	lncRNA	CATG00000025394.1	CATG00000025394.1	1	1	1	1	1111	4
25410	lncRNA	CATG00000025410.1	CATG00000025410.1	1	1	1	1	1111	4
25430	protein_coding	CATG00000025430.1	CATG00000025430	1	0	0	0	1000	1
25502	lncRNA	CATG00000025502.1	CATG00000025502.1	1	1	1	0	1110	3
25537	lncRNA	CATG00000025537.1	CATG00000025537.1	1	1	1	1	1111	4
25548	lncRNA	CATG00000025548.1	CATG00000025548.1	1	1	1	1	1111	4
25549	lncRNA	CATG00000025549.1	CATG00000025549.1	1	1	1	1	1111	4
25554	lncRNA	CATG00000025554.1	CATG00000025554.1	1	1	0	0	1100	2
25559	lncRNA	CATG00000025559.1	CATG00000025559.1	1	1	1	0	1110	3
25563	lncRNA	CATG00000025563.1	CATG00000025563.1	1	1	1	1	1111	4
25564	protein_coding	CATG00000025564.1	CATG00000025564	1	0	0	0	1000	1
25575	lncRNA	CATG00000025575.1	CATG00000025575.1	1	1	1	0	1110	3
25597	lncRNA	CATG00000025597.1	CATG00000025597.1	1	1	1	0	1110	3
25620	lncRNA	CATG00000025620.1	CATG00000025620.1	1	1	1	0	1110	3
25648	lncRNA	CATG00000025648.1	CATG00000025648.1	1	1	1	1	1111	4
25651	lncRNA	CATG00000025651.1	CATG00000025651.1	1	1	1	0	1110	3
